Bank_id,Year,Bank_name,Sector
55,2006,INDIAN OVERSEAS BANK,Public
55,2007,INDIAN OVERSEAS BANK,Public
55,2008,INDIAN OVERSEAS BANK,Public
55,2009,INDIAN OVERSEAS BANK,Public
55,2010,INDIAN OVERSEAS BANK,Public
55,2011,INDIAN OVERSEAS BANK,Public
55,2012,INDIAN OVERSEAS BANK,Public
55,2013,INDIAN OVERSEAS BANK,Public
55,2014,INDIAN OVERSEAS BANK,Public
55,2015,INDIAN OVERSEAS BANK,Public
55,2016,INDIAN OVERSEAS BANK,Public
55,2017,INDIAN OVERSEAS BANK,Public
55,2018,INDIAN OVERSEAS BANK,Public
55,2019,INDIAN OVERSEAS BANK,Public
55,2020,INDIAN OVERSEAS BANK,Public
56,2005,INDUSIND BANK,Private
56,2006,INDUSIND BANK,Private
56,2007,INDUSIND BANK,Private
56,2008,INDUSIND BANK,Private
56,2009,INDUSIND BANK,Private
56,2010,INDUSIND BANK,Private
56,2011,INDUSIND BANK,Private
56,2012,INDUSIND BANK,Private
56,2013,INDUSIND BANK,Private
56,2014,INDUSIND BANK,Private
56,2015,INDUSIND BANK,Private
56,2016,INDUSIND BANK,Private
56,2017,INDUSIND BANK,Private
56,2018,INDUSIND BANK,Private
56,2019,INDUSIND BANK,Private
56,2020,INDUSIND BANK,Private
57,2012,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,Foreign
57,2013,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,Foreign
57,2014,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,Foreign
57,2015,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,Foreign
57,2016,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,Foreign
57,2017,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,Foreign
57,2018,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,Foreign
57,2019,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,Foreign
57,2020,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,Foreign
58,2016,INDUSTRIAL BANK OF KOREA,Foreign
58,2017,INDUSTRIAL BANK OF KOREA,Foreign
58,2018,INDUSTRIAL BANK OF KOREA,Foreign
58,2019,INDUSTRIAL BANK OF KOREA,Foreign
58,2020,INDUSTRIAL BANK OF KOREA,Foreign
59,2005,ING BANK,Foreign
60,2005,ING VYSYA BANK,Private
60,2006,ING VYSYA BANK,Private
60,2007,ING VYSYA BANK,Private
60,2008,ING VYSYA BANK,Private
60,2009,ING VYSYA BANK,Private
60,2010,ING VYSYA BANK,Private
60,2011,ING VYSYA BANK,Private
60,2012,ING VYSYA BANK,Private
60,2013,ING VYSYA BANK,Private
60,2014,ING VYSYA BANK,Private
60,2015,ING VYSYA BANK,Private
61,2005,JAMMU & KASHMIR BANK LTD,Private
61,2006,JAMMU & KASHMIR BANK LTD,Private
61,2007,JAMMU & KASHMIR BANK LTD,Private
61,2008,JAMMU & KASHMIR BANK LTD,Private
61,2009,JAMMU & KASHMIR BANK LTD,Private
61,2010,JAMMU & KASHMIR BANK LTD,Private
61,2011,JAMMU & KASHMIR BANK LTD,Private
61,2012,JAMMU & KASHMIR BANK LTD,Private
61,2013,JAMMU & KASHMIR BANK LTD,Private
61,2014,JAMMU & KASHMIR BANK LTD,Private
